name,slug,country,city,region,establishedYear,universityType,description,mission,totalStudents,internationalStudents,facultyCount,acceptanceRate,graduationRate,employmentRate,tuitionUndergraduate,tuitionPostgraduate,currency,intakePeriods,isVerified,isFeatured
Harvard University,harvard-university,USA,Cambridge,Massachusetts,1636,Private,Harvard University is a private Ivy League research university in Cambridge Massachusetts,To educate leaders who make a difference in the world,23000,6000,2400,3.4,98,95,54000,52000,USD,"Fall,Spring",true,true
Stanford University,stanford-university,USA,Stanford,California,1885,Private,Stanford University is a private research university in Stanford California,To prepare students for leadership in a rapidly changing world,17000,4500,2300,3.9,96,94,56000,56180,USD,Fall,true,true
Massachusetts Institute of Technology,mit,USA,Cambridge,Massachusetts,1861,Private,MIT is a private research university in Cambridge Massachusetts,To advance knowledge and apply it for the betterment of humanity,11300,3300,1700,3.96,92,97,57590,60718,USD,"Fall,Spring",true,true
University of Oxford,oxford-university,UK,Oxford,England,1096,Public,The University of Oxford is a public research university in Oxford England,To advance learning through teaching and research,24000,11000,16000,17.6,98,92,38710,31280,GBP,"Fall,Winter",true,true
University of Cambridge,cambridge-university,UK,Cambridge,England,1209,Public,The University of Cambridge is a public research university in England,To contribute to society through education learning and research,20000,8000,3000,21,99,93,38710,30750,GBP,"Fall,Winter",true,true
Yale University,yale-university,USA,New Haven,Connecticut,1701,Private,Yale University is a private Ivy League research university in New Haven Connecticut,To engage in research and provide instruction,12700,3200,1100,4.35,96,94,62250,44700,USD,"Fall,Spring",true,false
Princeton University,princeton-university,USA,Princeton,New Jersey,1746,Private,Princeton University is a private research university in Princeton New Jersey,To expand knowledge in service to humanity,8600,2100,1300,4.36,97,95,59320,56170,USD,Fall,true,false
Columbia University,columbia-university,USA,New York City,New York,1754,Private,Columbia University is a private Ivy League research university in New York City,To provide instruction in the liberal arts and sciences,31000,9000,4700,3.73,96,93,65524,77468,USD,"Fall,Spring",true,false
University of Toronto,toronto-university,Canada,Toronto,Ontario,1827,Public,The University of Toronto is a public research university in Toronto Canada,To be a leading research-intensive university,95000,22000,3000,43,92,90,45320,29980,USD,"Fall,Winter",true,true
University of British Columbia,ubc,Canada,Vancouver,British Columbia,1908,Public,UBC is a public research university in Vancouver Canada,To to create an exceptional learning environment,65000,17000,7200,52,85,88,38400,28500,USD,"Fall,Winter",true,true
University of Melbourne,melbourne-university,Australia,Melbourne,Victoria,1853,Public,The University of Melbourne is a public research university in Melbourne Australia,To be a leading university internationally recognised for its global impact,48000,16000,6600,70,89,92,42000,37000,USD,"Fall,Spring",true,true
Australian National University,anu,Australia,Canberra,Australian Capital Territory,1946,Public,ANU is a public research university in Canberra Australia,To be the nation's leading research university,25000,8000,3200,75,88,90,50000,45000,USD,"Fall,Spring",true,false
ETH Zurich,eth-zurich,Switzerland,Zurich,Zurich,1855,Public,ETH Zurich is a public research university in Zurich Switzerland,To provide excellent education,21200,8500,510,15,92,96,7300,8100,CHF,"Fall,Spring",true,true
National University of Singapore,nus,Singapore,Singapore,Singapore,1905,Public,NUS is a public research university in Singapore,To transform the world through education research and service,36000,11000,4800,11,95,99,32400,35100,USD,"Fall,Spring",true,true
University of Edinburgh,edinburgh-university,UK,Edinburgh,Scotland,1583,Public,The University of Edinburgh is a public research university in Scotland,To provide the highest quality education,35000,13000,8000,43,93,91,30500,26370,GBP,"Fall,Spring",true,true
