name,type,provider,country,fieldOfStudy,amount,coverage,description,eligibilityCriteria,deadline
Fulbright Scholarship,Government,US Department of State,USA,All Fields,50000,"tuition,accommodation,livingExpenses,travelAllowance,healthInsurance",The Fulbright Program is the flagship international educational exchange program sponsored by the U.S. government,"minimumGPA: 3.5, nationality: All",2025-10-15
Chevening Scholarship,Government,UK Government,UK,All Fields,40000,"tuition,accommodation,livingExpenses,travelAllowance",Chevening Scholarships are the UK government's global scholarship programme,"minimumGPA: 3.0, nationality: All",2025-11-02
Rhodes Scholarship,University,University of Oxford,UK,All Fields,35000,"tuition,accommodation,travelAllowance",The Rhodes Scholarship is the oldest international scholarship for undergraduate students,"minimumGPA: 3.8, nationality: All",2025-10-01
Eiffel Excellence Scholarship,Government,French Government,France,All Fields,30000,"tuition,accommodation,livingExpenses",The Eiffel Excellence Scholarship rewards international students with high academic potential,"minimumGPA: 3.0, nationality: All",2025-01-15
Commonwealth Scholarship,Government,UK Government,UK,All Fields,28000,"tuition,accommodation,livingExpenses",Commonwealth Scholarships are for students from low and middle income countries,"minimumGPA: 2.5, nationality: Developing Countries",2025-09-01
Swiss Government Excellence Scholarship,Government,Swiss Government,Switzerland,All Fields,25000,"tuition,accommodation,livingExpenses",The Swiss Government Excellence Scholarship promotes international exchange and research cooperation,"minimumGPA: 3.0, nationality: All",2025-12-15
Australia Awards Scholarship,Government,Australian Government,Australia,All Fields,35000,"tuition,accommodation,travelAllowance",Australia Awards Scholarships aim to build capacity through quality education,"minimumGPA: 2.5, nationality: Asia Pacific",2025-04-30
KEF Scholarship,Private,Keeping Dreams Foundation,USA,"Computer Science,Engineering",20000,"tuition,accommodation",KEF Scholarship supports international students pursuing STEM fields,"minimumGPA: 3.2, nationality: All",2025-06-01
Aga Khan Foundation Scholarship,Private,Aga Khan Foundation,UK,All Fields,25000,"tuition,accommodation",The Aga Khan Foundation provides scholarships to outstanding students from developing countries,"minimumGPA: 3.0, nationality: Developing Countries",2025-03-31
Gate Foundation Scholarship,Private,Gates Foundation,USA,All Fields,50000,"tuition,accommodation,livingExpenses",The Gates Scholarship supports minority students with high academic achievement,"minimumGPA: 3.5, nationality: USA",2025-09-15
